texto	classe
World peace begins with inner peace.	peace
The world is now too small for anything but brotherhood.	peace
Love is the purest form of a soul at peace.	peace
Do your little bit of good where you are; its those little bits of good put together that overwhelm the world.	peace
If you want peace, you don’t talk to your friends. You talk to your enemies.	peace
When you make peace with yourself, you make peace with the world.	peace
I do not want the peace that passeth understanding. I want the understanding which bringeth peace.	peace
Little people are intolerant, selfish and impatient. Wise people are calm, loving and understanding.	peace
Why can’t people just sit and read books and be nice to each other?	peace
When the power of love overcomes the love of power, the world will know peace.	peace
Peace begins with a smile.	peace
Peace in ourselves, peace in the world.	peace
Don’t gain the world and lose your soul, wisdom is better than silver or gold.	peace
You can’t shake hands with a clenched fist.	peace
First keep the peace within yourself, then you can also bring peace to others.	peace
We can never obtain peace in the outer world until we make peace with ourselves.	peace
An eye for an eye will only make the whole world blind.	peace
Peace, which costs nothing, is attended with with infinitely more advantage than any victory with all its expense.	peace
If there must be trouble let it be in my day, that my child may have peace.	peace
If everyone demanded peace instead of another television set, then there’d be peace.	peace
You can’t separate peace from freedom because no one can be at peace unless he has his freedom.	peace
To forgive is the highest, most beautiful form of love. In return, you will receive untold peace and happiness.	peace
True peace is not merely the absence of tension: it is the presence of justice.	peace
If we ourselves remain angry and then sing world peace, it has little meaning. First, our individual self must learn peace. This we can practice. Then we can teach the rest of the world.	peace
I am not only a pacifist but a militant pacifist. I am willing to fight for peace. Nothing will end war unless the people themselves refuse to go to war.	peace
I have come into this world to see this: the sword drop from men’s hands even at the height of their arc of rage because we have finally realized there is just one flesh we can wound.	peace
urage is the price that life exacts for granting peace.	peace
There is a higher court than courts of justice, and that is the court of conscience. It supersedes all other courts.	peace
In the midst of movement and chaos, keep stillness inside of you.	peace
Let us bring equality, justice, and peace for all. Not just the politicians and the world leaders, we all need to contribute. Me. You. It is our duty.	peace
You cannot find peace by avoiding life.	peace
Make peace with your broken pieces.	peace
Worrying does not take away tomorrow’s troubles, it takes away today’s peace.	peace
There is no way to peace, peace is the way.	peace
You were placed on this earth to create not to compete.	peace
Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.	peace
Working for peace in the future is to work for peace in the present moment.	peace
The practice of peace and reconciliation is one of the most vital and artistic of human actions.	peace
The world is a dangerous place to live; not because of the people who are evil, but because of the people who don’t do anything about it.	peace
Peace cannot be kept by force; it can only be achieved by understanding.	peace
Peace is not only better than war, but infinitely more arduous.	peace
