texto	classe
Success is not in what you have, but who you are.	success
If you have no critics you’ll likely have no success.	success
Behind every successful man there’s a lot of unsuccessful years.	success
The secret of success is constancy of purpose.	success
Success is the child of audacity.	success
Forget the past.	success
The true success is the person who invented himself.	success
When the water starts boiling it is foolish to turn off the heat.	success
Be content to act, and leave the talking to others.	success
He has achieved success who has lived well, laughed often and loved much; who has gained the respect of intelligent men and the love of little children; who has filled his niche and accomplished his task; who has left the world better than he found it, whether by an improved poppy, a perfect poem, or a rescued soul; who has never lacked appreciation of earth’s beauty or failed to express it; who has always looked for the best in others and given them the best he had; whose life was an inspiration; whose memory a benediction.	success
Failure is success in progress.	success
Shallow men believe in luck. Strong men believe in cause and effect.	success
Find somebody to be successful for. Raise their hopes. Think of their needs.	success
The successful warrior is the average man, with laser-like focus.	success
Success is never accidental.	success
90% of your plans are going to fail no matter what you do. Get used to it.	success
The difference between successful people and very successful people is that very successful people say ‘no’ to almost everything.	success
One can have no smaller or greater mastery than mastery of oneself.	success
Living our life deeply and with happiness, having time to care for our loved ones – this is another kind of success, another kind of power, and it is much more important.	success
If at first you don’t succeed, try, try again. Then quit. No use being a damn fool about it.	success
The people who succeed are irrationally passionate about something.	success
The maximum success is reached when you are never busy.	success
I can’t give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.	success
The young do not know enough to be prudent, and therefore they attempt the impossible – and achieve it, generation after generation.	success
My secret for success? I don’t know what the hell success means.	success
Success is leaving a good path, or even better, leaving no path at all.	success
My success is not who I am.	success
Success is how high you bounce when you hit bottom.	success
You have reached the pinnacle of success as soon as you become uninterested in money, compliments, or publicity.	success
To be able to look back upon one’s life in satisfaction, is to live twice.	success
Mediocrity always measures success by money.	success
I don’t dwell on success. Maybe that’s one reason I’m successful.	success
I do not pray for success, I ask for faithfulness.	success
A minute’s success pays the failure of years.	success
Failure is the condiment that gives success its flavor.	success
The master has failed more times than the beginner has even tried.	success
The biggest challenge after success is shutting up about it.	success
I do not like to repeat successes, I like to go on to other things.	success
brate your successes. Find some humor in your failures.	success
Try not to become a man of success, but a man of value. Look around at how people want to get more out of life than they put in. A man of value will give more than he receives. Be creative, but make sure that what you create is not a curse for mankind.	success
Success consists of going from failure to failure without loss of enthusiasm.	success
Have no fear of perfection – you’ll never reach it.	success
Winning is a habit. Unfortunately, so is losing.	success
Success is my only option, failure’s not.	success
Many of life’s failures are people who did not realize how close they were to success when they gave up.	success
The path to success is to take massive, determined action.	success
We learn wisdom from failure much more than from success. We often discover what will do, by finding out what will not do; and probably he who never made a mistake never made a discovery.	success
Only those who dare to fail greatly can ever achieve greatly.	success
My mother said to me, “If you become a soldier, you’ll be a general; if you become a monk, you’ll end up as the Pope.” Instead, I became a painter and wound up as Picasso.	success
I’ve missed more than 9,000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life and that is why I succeed.	success
If you think you can, you can. And if you think you can’t, you’re right.	success
I have learned, that if one advances confidently in the direction of his dreams, and endeavors to live the life he has imagined, he will meet with a success unexpected in common hours.	success
There are no gains without pains.	success
I find that the harder I work, the more luck I seem to have.	success
That some achieve great success, is proof to all that others can achieve it as well.	success
Before anything else, preparation is the key to success.	success
Nothing succeeds like success.	success
Success is a lousy teacher. It seduces smart people into thinking they can’t lose.	success
Success in life comes not from holding a good hand, but in playing a poor hand well.	success
Success is not forever and failure isn’t fatal.	success
The best revenge is massive success.	success
The secret of success is to do the common things uncommonly well.	success
All you need is ignorance and confidence and the success is sure.	success
Success is liking yourself, liking what you do, and liking how you do it.	success
Money won’t create success, the freedom to make it will.	success
Action is the foundational key to all success.	success
If you’re going through hell, keep going.	success
80% of success is showing up.	success
To succeed, we must first believe that we can.	success
To fly, we have to have resistance.	success
mb the mountain so you can see the world, not so the world can see you.	success
Nothing fails like success.	success
Measure your success according to fun and creativity.	success
Applause waits on success.	success
Slow and steady is better than fast and shaky.	success
You sleep on a win and you’ll wake up with a loss.	success
arity equals success.	success
When it comes to success, there are no shortcuts.	success
One fails forward toward success.	success
To be great is to be misunderstood.	success
Be brave when you are scared, and humble when you are victorious.	success
Success has always been a great liar.	success
Success is the sum of details.	success
Success can’t be forced.	success
The ladder of success is never crowded at the top.	success
Success is the fruit of concentration.	success
There’s a lot of blood, sweat, and guts between dreams and success.	success
Success tempts many to their ruin.	success
Success is a poor teacher.	success
Success is dependent on effort.	success
Success is the sweetest revenge.	success
Sooner or later, those who win are those who think they can.	success
Become so curious and obsessed with one thing that you forget everything else. Follow it, drink it, dive deep in it, master it. Remarkable results need remarkable actions.	success
Success means having the courage, the determination, and the will to become the person you believe you were meant to be.	success
No one who strives to bring new life to something significant should be too quick to abandon the hope that he will succeed.	success
The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.	success
Greatness is not in where we stand, but in what direction we are moving. We must sail sometimes with the wind and sometimes against it – but sail we must and not drift, nor lie at anchor.	success
You aren’t going to find anybody that’s going to be successful without making a sacrifice and without perseverance.	success
To me success means effectiveness in the world, that I am able to carry my ideas and values into the world – that I am able to change it in positive ways.	success
You cannot dream yourself into a character; you must hammer and forge yourself one. James A.	success
Give me a stock clerk with a goal and I’ll give you a man who will make history. Give me a man with no goals and I’ll give you a stock clerk.	success
The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood, who strives valiantly, who errs and comes short again and again, who knows the great enthusiasms, the great devotions, and spends himself in a worthy cause, who at best knows achievement and who at the worst if he fails at least fails while daring greatly so that his place shall never be with those cold and timid souls who know neither victory nor defeat.	success
I measure success in terms of the contributions an individual makes to her fellow human beings.	success
What is success? I think it is a mixture of having a flair for the thing that you are doing; knowing that it is not enough, that you have got to have hard work and a certain sense of purpose.	success
Winners are not afraid of losing. But losers are. Failure is part of the process of success. People who avoid failure also avoid success.	success
The heights by great men reached and kept, were not attained by sudden flight, but they, while their companions slept, were toiling upward in the night.	success
How many cares one loses when one decides not to be something but to be someone.	success
Be hungry for success, hungry to make your mark, hungry to be seen and to be heard and to have an effect. And as you move up and become successful, make sure also to be hungry for helping others.	success
Success isn’t a result of spontaneous combustion. You must set yourself on fire.	success
The ladder of success is best climbed by stepping on the rungs of opportunity.	success
Think of success as a game of chance in which you have control over the odds. As you begin to master concepts in personal achievement, you are increasing your odds of achieving success.	success
Success is to be measured not so much by the position that one has reached in life as by the obstacles which he has overcome.	success
Success is almost totally dependent upon drive and persistence. The extra energy required to make another effort or try another approach is the secret of winning.	success
Successful people are the ones who think up things for the rest of the world to keep busy at.	success
The most glorious moments in your life are not the so-called days of success, but rather those days when out of dejection and despair you feel rise in you a challenge to life, and the promise of future accomplishments.	success
Our best successes often come after our greatest disappointments.	success
Success is the child of drudgery and perseverance. It cannot be coaxed or bribed; pay the price and it is yours.	success
Success is a science; if you have the conditions, you get the result.	success
Ambition is the path to success. Persistence is the vehicle you arrive in.	success
Why be a king, when you can be a god?	success
I’m the most successful bad player ever.	success
Successful people have libraries. The rest have big screen TVs.	success
True success isn’t being at the beach with your laptop. It’s being at the beach without your laptop.	success
No burden is so heavy for a man to bear as a succession of happy days.	success
Success is simply a matter of luck. Ask any failure.	success
I owe my success to having listened respectfully to the very best advice, and then going away and doing the exact opposite.	success
The more successful the villain, the more successful the picture.	success
Success is when the checks don’t bounce.	success
Every man has a right to be conceited until he is successful.	success
It’s our nature: Human beings like success but they hate successful people.	success
Pray that success will not come any faster than you are able to endure it.	success
Success is a great deodorant.	success
A successful marriage isn’t necessarily one that lasts until you’re dead.	success
I’m finding that success is way more time-consuming than failure ever was.	success
Don’t confuse fame with success. Madonna is one; Helen Keller is the other.	success
What is success? It is a toy balloon among children armed with pins.	success
Don’t stress about press if you want success.	success
The secret to success is to offend the greatest number of people.	success
Success is always less funny than failure.	success
A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.	success
People get successful and they start saying, ‘Well of course I am! I was chosen! I’m special!’ No, you’re not.	success
Part of the secret of a success in life is to eat what you like and let the food fight it out inside.	success
If success is a habit, it is a hard one to acquire.	success
When I prayed for success, I forgot to ask for sound sleep and good digestion.	success
In Hollywood a marriage is a success if it outlasts milk.	success
If I die prematurely I shall be saved from being bored to death at my own success.	success
Success comes in cans; failure in can’ts.	success
Success is dependent upon the glands – sweat glands.	success
nquer, but don’t triumph.	success
The fools in life want things fast and easy — money, success, attention.	success
The wise in life create things slowly, because they love it.	success
Success is not greedy, as people think, but insignificant. That is why it satisfies nobody.	success
The great person is one who in the midst of the crowd keeps with perfect sweetness the independence of solitude.	success
Success is like reaching an important birthday and finding you’re exactly the same.	success
The only question to ask yourself is, how much are you willing to sacrifice to achieve this success?	success
Success is counted sweetest by those who never succeed. To comprehend a nectar – requires sorest need.	success
The success or failure of a life, as far as posterity goes, seems to lie in the more or less luck of seizing the right moment of escape.	success
Success in life is founded upon attention to the small things rather than to the large things; to the every day things nearest to us rather than to the things that are remote and uncommon.	success
The depth of your mythology is the extent of your effectiveness.	success
Practice like you’ve never won. Perform like you’ve never lost.	success
There is only one kind of success that really matters: the success of transforming ourselves, transforming our afflictions, fear, and anger. This is the kind of success, the kind of power, that will benefits us and others without causing any damage.	success
We must walk consciously only part way toward our goal, and then leap in the dark to our success.	success
Success is full of promise till one gets it, and then it seems like a nest from which the bird has flown.	success
Success is when you can spend 90 percent of your time doing the things you want to do and only 10 percent doing things you have to do. Most people’s lives are just the opposite.	success
Success is blocked by concentrating on it and planning for it… Success is shy – it won’t come out while you’re watching.	success
Success – keeping your mind awake and your desire asleep.	success
Success is a consequence and must not be a goal.	success
To be successful be ahead of your time, but only a little.	success
Success usually comes to those who are too busy to be looking for it.	success
There is nothing so useless as doing efficiently that which should not be done at all.	success
The success you see others experiencing is rarely as sexy as it appears to be.	success
The results of success are usually public and highly visible, but the process behind success is often private and hidden from view.	success
Pick battles big enough to matter, small enough to win.	success
Be careful, ever so careful, in trumpeting your own achievements, and always talk less about yourself than about other people. Modesty is generally preferable.	success
Actually, your past successes are your biggest obstacle: every battle, every war, is different, and you cannot assume that what worked before will work today.	success
Success isn’t about how your life looks to others. It’s about how it feels to you.	success
Success is only meaningful and enjoyable if it feels like your own.	success
Success is about doing the right thing, not about doing everything right.	success
Best predictor of success: Innate ability to allocate time properly.	success
Success is created by doing the basics, to a high standard, consistently.	success
Success comes down to choosing the pain of discipline over the ease of capitulation.	success
Are you chasing success? Chase good habits instead.	success
“Winning” is a matter of perception. Some will check the scoreboard, others will check the progress. What are you checking?	success
If you want to be successful, surround yourself with people who are more successful than you are, but if you want to be happy, surround yourself with people who are less successful than you are.	success
He has achieved success who has worked well, laughed often, and loved much.	success
Your level of success will rarely exceed your level of personal development, because success is something you attract by the person you become.	success
If I tell you I’m good, probably you will say I’m boasting. But if I tell you I’m not good, you’ll know I’m lying.	success
Show me someone for whom success is less important than the manner in which it is achieved. Of concern for the means, rather than the ends, of their actions…I want to see him. This is the person I have looked for a long time, the true genius.	success
The distance between insanity and genius is measured only by success.	success
Accomplishing goals is not success. How much you expand in the process is.	success
If you only master yourself and you don’t help anyone else, we’d call you happy, but nobody would define you as successful.	success
Success produces confidence; confidence relaxes industry, and negligence ruins the reputation which accuracy had raised.	success
Without continual growth and progress, such words as improvement, achievement, and success have no meaning.	success
Along with success comes a reputation for wisdom.	success
Each success only buys an admission ticket to a more difficult problem.	success
It is not the possession of truth, but the success which attends the seeking after it, that enriches the seeker and brings happiness to him.	success
You know you are on the road to success if you would do your job, and not be paid for it.	success
Success is dangerous. One begins to copy oneself, and to copy oneself is more dangerous than to copy others. It leads to sterility.	success
The season of failure is the best time for sowing the seeds of success.	success
I have had all of the disadvantages required for success.	success
Sometimes I worry about being a success in a mediocre world.	success
Life is a succession of moments. To live each one is to succeed.	success
This is the final test of a gentleman: his respect for those who can be of no possible value to him.	success
How far you go in life depends on your being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and strong. Because someday in life you will have been all of these.	success
Everything I’ve ever done was out of fear of being mediocre.	success
Life is not about accomplishing things and then showing off to people. It’s about doing what truly matters to you in the most beautiful way possible.	success
Success isn’t always going to be a huge contract; success is going to be if you just live out your purpose in life.	success
Those who succeed and are happy know that the goal is to be authentic and memorable and make a difference, not to be understood and liked by everyone.	success
Happiness is not always through success. Equally, the constant pursuit of success is sure unhappiness. But we have to find the balance.	success
Life fundamentally does not change depending on work or fame or success.	success
Sometimes success comes in ways you don’t expect.	success
A person is a success if they get up in the morning and gets to bed at night and in between does what he wants to do.	success
We need to internalize this idea of excellence. Not many folks spend a lot of time trying to be excellent.	success
You never achieve success unless you like what you are doing.	success
Life is a succession of lessons enforced by immediate reward, or, oftener, by immediate chastisement.	success
Often it’s the little, daily decisions – the ones you make hour by hour – that mean the difference between success and failure.	success
We reveal our joys and successes, we conceal our pain.	success
I gave up a lot of things in exchange for my success.	success
Success comes from curiosity, concentration, perseverance and self-criticism.	success
I’m not one of those people who thinks they simply deserve success. I have the drive to work.	success
Perseverance – a lowly virtue whereby mediocrity achieves an inglorious success.	success
Hard work – the most raw and obvious way to reach something.	success
Not doing more than the average is what keeps the average down.	success
People just don’t understand how obsessed I am with winning.	success
I’m convinced that about half of what separates successful entrepreneurs from the non successful entrepreneurs is pure perseverance. It is so hard, you pour so much of your life into this thing, there are such rough moments in time, that most people give up. I don’t blame them, it’s really tough.	success
I know the price of success: dedication, hard work, and an unremitting devotion to the things you want to see happen.	success
I can’t imagine a person becoming a success who doesn’t give this game of life everything he’s got.	success
Yesterday I dared to struggle. Today I dare to win.	success
Making your mark on the world is hard. If it were easy, everybody would do it. But it’s not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won’t. It’s whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.	success
We all naturally want to become successful… we also want to take shortcuts. And it’s easy to do so, but you can never take away the effort of hard work and discipline and sacrifice.	success
The harder you work for something you love, the more meaningful your life becomes.	success
Through perseverance many people win success out of what seemed destined to be certain failure.	success
Flaming enthusiasm, backed up by horse sense and persistence, is the quality that most frequently makes for success.	success
Success is the progressive realization of a worthy goal or ideal.	success
No matter how much it hurts now, someday you will look back and realize your struggles changed your life for the better.	success
Success is nothing more than a few simple disciplines, practiced every day.	success
The moment we believe that success is determined by an ingrained level of ability as opposed to resilience and hard work, we will be brittle in the face of adversity.	success
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.	success
A constant struggle, a ceaseless battle to bring success from inhospitable surroundings, is the price of all great achievements.	success
Success is achieved and maintained by those who try and keep trying.	success
A man who wants to lead the orchestra must turn his back on the crowd.	success
Everyone has a plan until they get punched in the mouth.	success
We can be truly successful only at something we’re willing to fail at.	success
Good people are good because they’ve come to wisdom through failure. We get very little wisdom from success, you know.	success
Those who try to do something and fail are infinitely better than those who try nothing and succeed.	success
Do you really think you’ll learn and grow and achieve without failing?	success
Obstacles are placed in our way to see if what we want is really worth fighting for.	success
I cannot give you the formula for success, but I can give you the formula for failure: which is: Try to please everybody.	success
Man approaches the unattainable truth through a succession of errors.	success
Success is sweet and sweeter if long delayed and gotten through many struggles and defeats.	success
A rejection is nothing more than a necessary step in the pursuit of success.	success
It is a mistake to suppose that men succeed through success; they much oftener succeed through failures. Precept, study, advice, and example could never have taught them so well as failure has done.	success
Frustration, although quite painful at times, is a very positive and essential part of success.	success
It’s how you deal with failure that determines how you achieve success.	success
Real successful people are the ones who don’t even bother about obstacles because they know exactly what they want.	success
The successful man will profit from his mistakes and try again in a different way.	success
Success does not consist in never making mistakes but in never making the same one a second time.	success
Without failure there is no sweetness in success. There’s no understanding of it.	success
Success is more dangerous than failure, the ripples break over a wider coastline.	success
Despite the successes, you remember the failures – rather lovingly.	success
I think success has no rules, but you can learn a great deal from failure.	success
The road to success is always under construction.	success
Before success comes in any man’s life, he’s sure to meet with much temporary defeat and, perhaps some failures. When defeat overtakes a man, the easiest and the most logical thing to do is to quit. That’s exactly what the majority of men do.	success
No man ever achieved worth-while success who did not, at one time or other, find himself with at least one foot hanging well over the brink of failure.	success
Success is not built on success. It’s built on failure. It’s built on frustration. Sometimes it’s built on catastrophe.	success
Once you can accept failure, you can have fun and success.	success
Small opportunities are often the beginning of great enterprises.	success
It is common sense to take a method and try it. If it fails, admit it frankly and try another. But above all, try something. Franklin D.	success
Your ability to learn faster than your competition is your only sustainable competitive advantage.	success
Successful entrepreneurs may hate hierarchies and structures and try to destroy them. They may garner the disapproval of MBAs for their creativity and wildness. But they have antennae in their heads. When they walk down the street anywhere in the world, they have their antennae out, evaluating how what they see can relate back to what they are doing. It might be packaging, a word, a poem, or even something in a completely different business.	success
The world’s most successful entrepreneurs play hard, but they work even harder.	success
If you delight your customers, you’ll delight your shareholders.	success
Real success is being totally indulgent about your own trip. You put your blinders on about the garbage and go full speed ahead.	success
Our success has really been based on partnerships from the very beginning.	success
To be successful you have to be lucky, or a little mad, or very talented, or find yourself in a rapid growth field.	success
Really liking what you do, whatever area that you get into, even if you’re the best of the best, there’s always a chance of failure. So, I think it’s important that you really like whatever you’re doing, if you don’t like it, life is too short. If you like what you’re doing, you think about it even when you’re not working, it’s something that your mind is drawn to. And if you don’t like it, you really just can’t make it work.	success
