texto	classe
Listen to silence. It has so much to say.	silence
The quieter you become the more you are able to hear.	silence
Saying nothing sometimes says the most.	silence
Speech is silver, silence is golden.	silence
All men’s miseries derive from not being able to sit in a quiet room alone.	silence
A fool is known by his speech; and a wise man by silence.	silence
It is better in prayer to have a heart without words than words without a heart.	silence
When you have nothing to say, say nothing.	silence
The monotony and solitude of a quiet life stimulates the creative mind.	silence
Silence is the sleep that nourishes wisdom.	silence
Silence is a source of great strength.	silence
The closer you are to the truth, the more silent you become inside.	silence
There was a brief silence. I think I heard snow falling.	silence
I, schooled in misery, know many purifying rites, and I know where speech is proper and where silence.	silence
In human intercourse the tragedy begins, not when there is misunderstanding about words, but when silence is not understood.	silence
I think 99 times and find nothing. I stop thinking, swim in silence, and the truth comes to me.	silence
If I could I would always work in silence and obscurity, and let my efforts be known by their results.	silence
All I insist on, and nothing else, is that you should show the whole world that you are not afraid. Be silent, if you choose; but when it is necessary, speak – and speak in such a way that people will remember it.	silence
I’ve begun to realize that you can listen to silence and learn from it. It has a quality and a dimension all its own.	silence
Silence is true wisdom’s best reply.	silence
Time and silence are the most luxurious things today.	silence
The more you understand silence, that’s where the balance comes.	silence
Noise creates illusions. Silence brings the truth.	silence
Everything has its wonders, even darkness and silence, and I learn whatever state I am in, therein to be content.	silence
Inner silence is the mother of all talents.	silence
In the silence behind what can be heard lies the answers we have been searching for for so long.	silence
Silence is so freaking loud.	silence
There is something terribly wrong with a culture inebriated by noise and gregariousness.	silence
The things that we understand, create silence. The things that we do not, create emotion.	silence
Silence is sometimes the best answer.	silence
Within us is the soul of the whole, the wise silence, the universal beauty, the eternal One.	silence
I think the first virtue is to restrain the tongue; he approaches nearest to gods who knows how to be silent, even though he is in the right.	silence
Don’t waste words on people deserve your silence. Sometimes the most powerful thing you can say is nothing at all.	silence
If there were a little more silence, if we all kept quiet…maybe we could understand something.	silence
The human heart has hidden treasures, in secret kept, in silence sealed; the thoughts, the hopes, the dreams, the pleasures, whose charms were broken if revealed.	silence
Silence speaks when words can’t.	silence
The world’s continual breathing is what we hear and call silence.	silence
In silence there is eloquence. Stop weaving and see how the pattern improves.	silence
Now all my teachers are dead except silence.	silence
Talk, talk, talk: the utter and heartbreaking stupidity of words.	silence
Keep silence for the most part, and speak only when you must, and then briefly.	silence
The good and the wise lead quiet lives. Euripides (This is one of my favorite quote. Leave a reply here and let me know what’s yours!	silence
Silence is a true friend who never betrays.	silence
As far as I’m concerned, I prefer silent vice to ostentatious virtue.	silence
Our lives begin to end the day we become silent about things that matter.	silence
Silence is the wit of fools.	silence
Nothing strengthens authority so much as silence.	silence
Without great solitude no serious work is possible.	silence
Speak only if it improves upon the silence.	silence
I often regret that I have spoken; never that I have been silent.	silence
The right word may be effective, but no word was ever as effective as a rightly timed pause.	silence
The truth hurts, but silence kills.	silence
The music is not in the notes, but in the silence between.	silence
As we must account for every idle word, so must we account for every idle silence.	silence
Three hundred years of humiliation, abuse and deprivation cannot be expected to find voice in a whisper.	silence
Silence is golden when you can’t think of a good answer.	silence
Silence is the ultimate weapon of power.	silence
